state/district,fullname,first,last,chamber,birthdate,age,date_took_office,time_in_congress (years),cong_days,zodiac sign,Party,percent_life_in_office,raw_life_in_congress
Illinois 18,Aaron Schock,Aaron,Schock,Representative,5/28/1981,32,1/3/2009,5,1825,Gemini,Republican,16%,16
Illinois 16,Adam Kinzinger,Adam,Kinzinger,Representative,2/27/1978,36,1/3/2011,3,1095,Pisces,Republican,8%,8
California 28,Adam Schiff,Adam,Schiff,Representative,6/20/1960,53,1/3/2001,13,4745,Gemini,Democratic,25%,25
Washington 9,Adam Smith,Adam,Smith,Representative,6/15/1965,48,1/3/1997,17,6205,Gemini,Republican,35%,35
Nebraska 3,Adrian M. Smith,Adrian M.,Smith,Representative,12/19/1970,43,1/3/2007,7,2555,Sagittarius,Democratic,16%,16
Minnesota,Al Franken,Al,Franken,Senator,5/21/1951,62,7/7/2009,4,1460,Gemini,Democratic,6%,6
Texas 9,Al Green,Al,Green,Representative,9/1/1947,66,1/3/2005,9,3285,Virgo,Democratic,14%,14
Florida 9,Alan Grayson,Alan,Grayson,Representative,3/13/1958,56,1/3/2013,1,365,Pisces,Democratic,2%,2
California 47,Alan Lowenthal,Alan,Lowenthal,Representative,3/8/1941,73,1/3/2013,1,365,Pisces,Democratic,1%,1
Mississippi 1,Alan Nunnelee,Alan,Nunnelee,Representative,10/9/1958,55,1/3/2011,3,1095,Libra,Republican,5%,5
New Jersey 8,Albio Sires,Albio,Sires,Representative,1/26/1951,63,11/13/2006,7,2555,Aquarius,Democratic,11%,11
Florida 20,Alcee Hastings,Alcee,Hastings,Representative,9/5/1936,77,1/3/1993,21,7665,Virgo,Democratic,27%,27
Pennsylvania 13,Allyson Schwartz,Allyson,Schwartz,Representative,10/3/1948,65,1/3/2005,9,3285,Libra,Democratic,14%,14
California 7,Ami Bera,Ami,Bera,Representative,3/2/1965,49,1/3/2013,1,365,Pisces,Democratic,2%,2
Minnesota,Amy Klobuchar,Amy,Klobuchar,Senator,5/25/1960,53,1/3/2007,7,2555,Gemini,Democratic,13%,13
Florida 4,Ander Crenshaw,Ander,Crenshaw,Representative,9/1/1944,69,1/3/2001,13,4745,Virgo,Republican,19%,19
Indiana 7,André Carson,André,Carson,Representative,10/16/1974,39,3/11/2008,6,2190,Libra,Democratic,15%,15
Maryland 1,Andrew P. Harris,Andrew P.,Harris,Representative,1/25/1957,57,1/3/2011,3,1095,Aquarius,Republican,5%,5
Kentucky 6,Andy Barr,Andy,Barr,Representative,7/24/1973,40,1/3/2013,1,365,Leo,Republican,3%,3
Maine,Angus King,Angus,King,Senator,3/31/1944,70,1/3/2013,1,365,Aries,Independent[1],1%,1
Arizona 1,Ann Kirkpatrick,Ann,Kirkpatrick,Representative,3/24/1950,64,1/3/2013,1,365,Aries,Democratic,2%,2
New Hampshire 2,Ann McLane Kuster,Ann McLane,Kuster,Representative,9/5/1956,57,1/3/2013,1,365,Virgo,Democratic,2%,2
Missouri 2,Ann Wagner,Ann,Wagner,Representative,9/13/1962,51,1/3/2013,1,365,Virgo,Republican,2%,2
California 18,Anna Eshoo,Anna,Eshoo,Representative,12/13/1942,71,1/3/1993,21,7665,Sagittarius,Democratic,30%,30
Georgia 8,Austin Scott,Austin,Scott,Representative,12/10/1969,44,1/3/2011,3,1095,Sagittarius,Republican,7%,7
California,Barbara Boxer,Barbara,Boxer,Senator,11/11/1940,73,1/3/1993,21,7665,Scorpio,Democratic,29%,29
California 13,Barbara Lee,Barbara,Lee,Representative,7/16/1946,67,4/7/1998,16,5840,Cancer,Democratic,24%,24
